  0.00E+000  1.27E+002  1.00E+010  1.00E+000  1.00E+000 -9.26E+061
 -6.01E+001  8.19E+002  9.53E+008  1.95E+000  1.33E+000  1.86E+021
 -6.10E+001  8.19E+002  9.38E+008  1.96E+000  1.33E+000  1.86E+021
 -6.18E+001  8.19E+002  9.24E+008  1.97E+000  1.33E+000  1.86E+021
 -6.26E+001  8.20E+002  9.10E+008  1.98E+000  1.33E+000  1.86E+021
 -6.35E+001  8.20E+002  8.96E+008  1.99E+000  1.33E+000  1.86E+021
 -6.43E+001  8.20E+002  8.83E+008  2.00E+000  1.34E+000  1.86E+021
 -6.51E+001  8.20E+002  8.71E+008  2.01E+000  1.34E+000  1.86E+021
 -6.60E+001  8.20E+002  8.58E+008  2.02E+000  1.34E+000  1.86E+021
 -6.68E+001  8.21E+002  8.46E+008  2.03E+000  1.34E+000  1.86E+021
 -6.76E+001  8.21E+002  8.34E+008  2.04E+000  1.34E+000  1.86E+021
 -6.85E+001  8.21E+002  8.23E+008  2.05E+000  1.34E+000  1.86E+021
 -6.93E+001  8.21E+002  8.11E+008  2.06E+000  1.34E+000  1.86E+021
 -7.01E+001  8.21E+002  8.00E+008  2.07E+000  1.34E+000  1.86E+021
 -7.10E+001  8.21E+002  7.90E+008  2.08E+000  1.34E+000  1.86E+021
 -7.18E+001  8.21E+002  7.79E+008  2.09E+000  1.34E+000  1.86E+021
 -7.26E+001  8.22E+002  7.69E+008  2.10E+000  1.34E+000  1.86E+021
 -7.35E+001  8.22E+002  7.59E+008  2.10E+000  1.34E+000  1.86E+021
 -7.43E+001  8.20E+002  7.49E+008  2.11E+000  1.34E+000  1.86E+021
 -7.52E+001  8.16E+002  7.40E+008  2.12E+000  1.34E+000  1.86E+021
 -7.60E+001  8.10E+002  7.31E+008  2.13E+000  1.34E+000  1.86E+021
 -7.68E+001  8.03E+002  7.22E+008  2.14E+000  1.34E+000  1.86E+021
 -7.77E+001  7.96E+002  7.13E+008  2.15E+000  1.34E+000  1.86E+021
 -7.85E+001  7.88E+002  7.04E+008  2.16E+000  1.34E+000  1.86E+021
 -7.93E+001  7.80E+002  6.96E+008  2.17E+000  1.34E+000  1.86E+021
 -8.02E+001  7.70E+002  6.88E+008  2.18E+000  1.34E+000  1.86E+021
 -8.10E+001  7.61E+002  6.80E+008  2.18E+000  1.34E+000  1.86E+021
 -8.18E+001  7.51E+002  6.73E+008  2.19E+000  1.34E+000  1.86E+021
 -8.27E+001  7.39E+002  6.65E+008  2.20E+000  1.34E+000  1.86E+021
 -8.35E+001  7.28E+002  6.58E+008  2.21E+000  1.34E+000  1.86E+021
