  0.000E+00  Sec
 ETA = 0
  6.977E-20 0.000E+00 0.000E+00
  7.535E-20 0.000E+00 0.000E+00
  8.138E-20 0.000E+00 0.000E+00
  8.789E-20 0.000E+00 0.000E+00
  9.493E-20 0.000E+00 0.000E+00
  1.025E-19 0.000E+00 0.000E+00
  1.107E-19 0.000E+00 0.000E+00
  1.196E-19 0.000E+00 0.000E+00
  1.291E-19 0.000E+00 0.000E+00
  1.395E-19 0.000E+00 0.000E+00
  1.506E-19 0.000E+00 0.000E+00
  1.627E-19 0.000E+00 0.000E+00
  1.757E-19 0.000E+00 0.000E+00
  1.898E-19 0.000E+00 0.000E+00
  2.049E-19 0.000E+00 0.000E+00
  2.213E-19 0.000E+00 0.000E+00
  2.390E-19 0.000E+00 0.000E+00
  2.582E-19 0.000E+00 0.000E+00
  2.788E-19 0.000E+00 0.000E+00
  3.011E-19 0.000E+00 0.000E+00
  3.252E-19 0.000E+00 0.000E+00
  3.512E-19 0.000E+00 0.000E+00
  3.793E-19 0.000E+00 0.000E+00
  4.097E-19 0.000E+00 0.000E+00
  4.424E-19 0.000E+00 0.000E+00
  4.778E-19 0.000E+00 0.000E+00
  5.161E-19 0.000E+00 0.000E+00
  5.573E-19 0.000E+00 0.000E+00
  6.019E-19 0.000E+00 0.000E+00
  6.501E-19 0.000E+00 0.000E+00
  7.021E-19 0.000E+00 0.000E+00
  7.583E-19 0.000E+00 0.000E+00
  8.189E-19 0.000E+00 0.000E+00
  8.844E-19 0.000E+00 0.000E+00
  9.552E-19 0.000E+00 0.000E+00
  1.032E-18 0.000E+00 0.000E+00
  1.114E-18 0.000E+00 0.000E+00
  1.203E-18 0.000E+00 0.000E+00
  1.300E-18 0.000E+00 0.000E+00
  1.404E-18 0.000E+00 0.000E+00
  1.516E-18 0.000E+00 0.000E+00
  1.637E-18 0.000E+00 0.000E+00
  1.768E-18 0.000E+00 0.000E+00
  1.909E-18 0.000E+00 0.000E+00
  2.062E-18 0.000E+00 0.000E+00
  2.227E-18 0.000E+00 0.000E+00
  2.405E-18 0.000E+00 0.000E+00
 
  0.00000E+00 NaN         NaN         0.00000E+00 NaN        
  2.09285E-12
 
 
